,Man_mean,Tent_mean,M,D,prob,ranking,Length
comp70018_c0,30.1222849555566,26.3580966068847,0.192585018216652,3.76418834867192,0.45124716553288,3.76911168758886,3308
comp70021_c0,0.193677051035167,0.0990302653777718,0.967711607376449,0.0946467856573955,0.154459561602419,0.972329043629978,312
comp70022_c0,43.3456835395176,92.389412287733,-1.0918391962596,49.0437287482153,0.887442680776014,-49.0558808132013,1836
comp70022_c1,1.01843662791526,2.25655481108001,-1.14776561004349,1.23811818316475,0.62626102292769,-1.68828390120906,356
comp70023_c0,2.52142439966359,3.4676266737172,-0.459709616358227,0.946202274053612,0.441025447215923,-1.05196562434162,695
comp70023_c2,0.149203061538203,0.1525799644339,-0.0322883926235508,0.00337690289569725,0.016029226505417,-0.0324645001714109,405
comp70024_c1,0.636970202982841,0.738238267833734,-0.212860638265372,0.101268064850892,0.135883093978332,-0.235722023327024,1423
comp70024_c4,22.1061135022668,26.0235773605158,-0.235373891592441,3.91746385824901,0.519901738473167,-3.92452850028262,6257
comp70026_c0,6.55969634353491,5.33660432505493,0.297706983531926,1.22309201847998,0.447697152935248,1.25880242044298,2478
comp70027_c0,0.254430483886199,0.0650472479955048,1.96771160737645,0.189383235890694,0.220917107583774,1.97680423407085,475
comp70027_c1,22.9057883380756,27.9280208212211,-0.286001121290459,5.02223248314557,0.582814310909549,-5.03036934589716,2799
comp70027_c3,0.193677051035167,0.396121061511087,-1.03228839262355,0.20244401047592,0.222086167800454,-1.05195194896102,624
comp70027_c5,18.0774874326879,21.0206274393675,-0.217611559268627,2.94314000667961,0.480360292265054,-2.95117398498384,1073
comp70029_c0,0.202291094911911,2.36422326525986,-3.54686156545331,2.16193217034795,0.840728143109095,-4.15381483382147,2091
comp70030_c1,1.73825519838981,15.904815369075,-3.19375181531767,14.1665601706852,0.991206853111615,-14.522103075226,1321
comp70031_c0,7.92746588042468,6.25465175664856,0.341930202047248,1.67281412377611,0.511821617535903,1.70740251721055,2302
comp70031_c1,8.84666787954183,6.7468361444469,0.390923038100993,2.09983173509493,0.565162509448224,2.13591061082385,403
comp70032_c2,2.0686802856513,1.11342136208522,0.893711025932672,0.955258923566082,0.502098765432099,1.30814334418146,555
comp70033_c0,47.1844378035731,107.230627905297,-1.18433401772471,60.0461901017237,0.901279919375158,-60.0578687000953,2172
comp70034_c1,1.32534042325916,1.05885684708241,0.323855417601724,0.266483576176745,0.232834467120181,0.419399365619375,1459
comp70036_c2,13.3502041690287,11.6373078283161,0.198104461527524,1.71289634071263,0.407563618039809,1.72431413950702,3956
comp70038_c0,46.4667659340013,25.6856460185246,0.855236878118037,20.7811199154767,0.811748551272361,20.7987108989744,2069
comp70038_c2,46.4648852438006,42.1796908498124,0.139592323635449,4.2851943939882,0.380627362055934,4.28746743557147,1320
comp70040_c0,NA,NA,NA,NA,NA,0,842
comp70041_c0,5.37373315463988,5.48739221232861,-0.0301960136623107,0.113659057688731,0.0682161753590325,-0.117601788403854,7759
comp70046_c0,12.8000657784661,18.2053106433332,-0.508208134049417,5.40524486486709,0.695336356764928,-5.42908349140866,2875
comp70047_c0,18.505294083813,18.7895914837523,-0.0219956376157174,0.284297399939355,0.0738044847568657,-0.285147014163571,1378
comp70047_c1,14.5707175428459,7.19722052434339,1.01756015682701,7.3734970185025,0.850992693373646,7.44337873244584,1099
comp70048_c0,7.27690951410662,5.95513240837376,0.2891922855938,1.32177710573286,0.45644494834971,1.35304356740147,6693
comp70050_c1,0.904058047919991,5.39919407359456,-2.57825676172884,4.49513602567457,0.942922650541698,-5.18205131378665,1671
comp70051_c0,0.83347917135134,0.710286041330225,0.230746013210243,0.123193130021115,0.15604686318972,0.261572685685683,435
comp70052_c1,4.44629305670083,4.8067500358276,-0.112458741307534,0.360456979126772,0.18984126984127,-0.377592640682618,1427
comp70054_c0,1.11459994587827,0.732745679000746,0.605141527991741,0.381854266877529,0.28538422776518,0.715548006798114,759
comp70054_c2,14.2965255365151,10.7607552433416,0.409885236592807,3.5357702931735,0.630287226001512,3.55944904068944,2722
comp70055_c0,1.33452384988896,7.7516552602417,-2.53817932235351,6.41713141035273,0.962680776014109,-6.90086442484987,1132
comp70057_c0,1.07989628455972,1.48845489779924,-0.462922746953413,0.408558613239516,0.291554547745024,-0.61742822262923,1287
comp70058_c0,11.2740908209136,13.8447557892072,-0.29632851131849,2.57066496829355,0.544804736709499,-2.58768795758528,1281
comp70059_c0,28.4716816336867,36.4258122845603,-0.355433438271296,7.95413065087358,0.64244142101285,-7.96206803162394,1006
comp70061_c0,41.3485462675407,62.4405819433833,-0.594647375224112,21.0920356758426,0.744819853867473,-21.1004164520959,3541
