,Rhop_mean,Tent_mean,M,D,prob,ranking,Length
comp56349_c0,0.159726116886246,0.625454307649085,-1.96930426492187,0.465728190762839,0.375130333552665,-2.0236259623534,494
comp56350_c3,1.19552578396675,0.936286145389842,0.352623829965488,0.259239638576908,0.227542136964114,0.437662833319229,462
comp56354_c0,0.17042052212053,3.33665688961823,-4.29123235980924,3.1662363674977,0.897170623070304,-5.33289113902946,463
comp56354_c1,0.248127992898759,0.582970618827638,-1.23233867075567,0.334842625928878,0.294569013514198,-1.27701925732496,318
comp56356_c0,5.34845274563647,5.41234717708218,-0.0171327900124894,0.0638944314457053,0.0427342207825075,-0.0661515749123329,1313
comp56360_c0,0.0663064720519374,0.934712555229523,-3.81730117147682,0.868406083177586,0.545414283545073,-3.91483299248616,595
comp56360_c1,0.0479372428565039,1.80203797606016,-5.23233867075567,1.75410073320365,0.757878220377588,-5.51853579744762,823
comp56360_c2,0.105206268989074,0.659145446354449,-2.64737617003451,0.553939177365375,0.418714885863238,-2.70470870850944,375
comp56379_c0,6.98491586447753,8.28112007808412,-0.245583177265159,1.29620421360659,0.422412309561168,-1.31926360532197,2858
comp56382_c0,0.744383978696278,0.485808849023031,0.615658235799282,0.258575129673247,0.23156855797945,0.667754566433672,636
comp56385_c0,0.179737361598646,0.140762837347903,0.352623829965488,0.0389745242507424,0.120289011489599,0.354771164273678,439
comp56390_c0,0.230042862221007,0.360320032628161,-0.647376170034512,0.130277170407153,0.17938452194159,-0.660354485604397,343
comp56396_c0,0.366147107850606,0.93194143009801,-1.3478158881756,0.565794322247404,0.419886622462925,-1.46175609576495,862
comp56401_c1,0.684936647064284,0.590055331209223,0.215120306215553,0.0948813158550604,0.160257124057296,0.23511531265458,1152
comp56403_c0,0.819079948876874,4.43683002114667,-2.43745310066028,3.6177500722698,0.903846737865061,-4.36225781027744,1156
comp56403_c1,0.76513650173872,3.74514458155937,-2.29123235980924,2.98000807982065,0.870569924583692,-3.75901501492523,825
comp56403_c3,0.458082448428479,5.06735999442485,-3.4675551324497,4.60927754599637,0.946760641797844,-5.76796134631679,1378
comp56412_c3,19.1314163770961,17.5706563314491,0.122775603709993,1.56076004564699,0.310462114693526,1.56558160724835,2388
comp56413_c0,0.0760160903100246,0.119065290165182,-0.647376170034512,0.0430491998551576,0.120291542238194,-0.648805933339641,519
